round,fraction,dice_score,method
1,0.12,0.5823958069086075,kl-divergence
2,0.13,0.624536857008934,kl-divergence
3,0.14,0.6367031186819077,kl-divergence
4,0.15,0.6735381335020065,kl-divergence
5,0.16,0.6969287246465683,kl-divergence
6,0.17,0.6985718607902527,kl-divergence
7,0.18,0.7192011177539825,kl-divergence
8,0.19,0.7761569023132324,kl-divergence
9,0.2,0.8053286075592041,kl-divergence
10,0.21,0.7969640642404556,kl-divergence
11,0.22,0.8170851767063141,kl-divergence
12,0.23,0.8269093781709671,kl-divergence
13,0.24,0.8304594308137894,kl-divergence
14,0.25,0.8345896452665329,kl-divergence
15,0.26,0.8246603608131409,kl-divergence
16,0.27,0.8484737277030945,kl-divergence
17,0.28,0.8515597432851791,kl-divergence
18,0.29,0.8612477481365204,kl-divergence
19,0.3,0.8600920587778091,kl-divergence
20,0.31,0.8609613478183746,kl-divergence
21,0.32,0.8663569092750549,kl-divergence
22,0.33,0.8677512407302856,kl-divergence
23,0.34,0.8727089911699295,kl-divergence
24,0.35,0.8712531328201294,kl-divergence
25,0.36,0.8806550800800323,kl-divergence
26,0.37,0.8789905905723572,kl-divergence
27,0.38,0.87667416036129,kl-divergence
28,0.39,0.8761236667633057,kl-divergence
29,0.4,0.8809741139411926,kl-divergence
30,0.41,0.8743763566017151,kl-divergence
31,0.42,0.8751039057970047,kl-divergence
32,0.43,0.8781245052814484,kl-divergence
33,0.44,0.8839685767889023,kl-divergence
34,0.45,0.8838537484407425,kl-divergence
35,0.46,0.880660206079483,kl-divergence
36,0.47,0.8839274346828461,kl-divergence
37,0.48,0.8804678022861481,kl-divergence
38,0.49,0.8875123262405396,kl-divergence
39,0.5,0.8844514042139053,kl-divergence
40,0.51,0.8858742713928223,kl-divergence
41,0.52,0.89019975066185,kl-divergence
42,0.53,0.8769299536943436,kl-divergence
43,0.54,0.8852996677160263,kl-divergence
44,0.55,0.886390820145607,kl-divergence
45,0.56,0.8857900053262711,kl-divergence
46,0.57,0.8926994353532791,kl-divergence
47,0.58,0.8888324052095413,kl-divergence
48,0.59,0.8891348242759705,kl-divergence
49,0.6,0.8923874348402023,kl-divergence
50,0.61,0.8874051570892334,kl-divergence
51,0.62,0.8886742442846298,kl-divergence
52,0.63,0.8876919597387314,kl-divergence
53,0.64,0.8874813318252563,kl-divergence
54,0.65,0.8907583355903625,kl-divergence
55,0.66,0.8922172635793686,kl-divergence
56,0.67,0.8910211622714996,kl-divergence
57,0.68,0.8910288065671921,kl-divergence
58,0.69,0.8957493454217911,kl-divergence
59,0.7,0.8902181535959244,kl-divergence
60,0.71,0.8944051414728165,kl-divergence
61,0.72,0.8944772779941559,kl-divergence
62,0.73,0.893296867609024,kl-divergence
63,0.74,0.8908548653125763,kl-divergence
64,0.75,0.8916590958833694,kl-divergence
65,0.76,0.8955607116222382,kl-divergence
66,0.77,0.8907555937767029,kl-divergence
67,0.78,0.8933329284191132,kl-divergence
68,0.79,0.8964183181524277,kl-divergence
69,0.8,0.8957012742757797,kl-divergence
70,0.81,0.8949911594390869,kl-divergence
71,0.82,0.89631187915802,kl-divergence
72,0.83,0.8922705501317978,kl-divergence
73,0.84,0.8973076939582825,kl-divergence
74,0.85,0.8977884650230408,kl-divergence
75,0.86,0.8975124806165695,kl-divergence
76,0.87,0.8946661353111267,kl-divergence
77,0.88,0.8915329277515411,kl-divergence
78,0.89,0.8929182291030884,kl-divergence
79,0.9,0.8950723260641098,kl-divergence
80,0.91,0.8949374556541443,kl-divergence
81,0.92,0.8986896276473999,kl-divergence
82,0.93,0.8956199735403061,kl-divergence
83,0.94,0.896505743265152,kl-divergence
84,0.95,0.895919531583786,kl-divergence
85,0.96,0.8937951624393463,kl-divergence
86,0.97,0.895905390381813,kl-divergence
87,0.98,0.8979141861200333,kl-divergence
88,0.99,0.8965497612953186,kl-divergence
89,1.0,0.9022741317749023,kl-divergence
