round,fraction,dice_score,method
1,0.12,0.6547982841730118,taal
2,0.13,0.6598581299185753,taal
3,0.14,0.6848427355289459,taal
4,0.15,0.7029762417078018,taal
5,0.16,0.715700700879097,taal
6,0.17,0.7477830350399017,taal
7,0.18,0.7722416669130325,taal
8,0.19,0.798617348074913,taal
9,0.2,0.8014969676733017,taal
10,0.21,0.8011589348316193,taal
11,0.22,0.8164878934621811,taal
12,0.23,0.8260904848575592,taal
13,0.24,0.8340532332658768,taal
14,0.25,0.8466057777404785,taal
15,0.26,0.8484377562999725,taal
16,0.27,0.8496929109096527,taal
17,0.28,0.8533114939928055,taal
18,0.29,0.857689380645752,taal
19,0.3,0.8552065640687943,taal
20,0.31,0.855592355132103,taal
21,0.32,0.8609085828065872,taal
22,0.33,0.8635429441928864,taal
23,0.34,0.8610226213932037,taal
24,0.35,0.8627489805221558,taal
25,0.36,0.8633997440338135,taal
26,0.37,0.8728318214416504,taal
27,0.38,0.8755151778459549,taal
28,0.39,0.8735006749629974,taal
29,0.4,0.8752066195011139,taal
30,0.41,0.8806060999631882,taal
31,0.42,0.8785364329814911,taal
32,0.43,0.8807157576084137,taal
33,0.44,0.8793115168809891,taal
34,0.45,0.8868376612663269,taal
35,0.46,0.8852601200342178,taal
36,0.47,0.8829925060272217,taal
37,0.48,0.8788542449474335,taal
38,0.49,0.8864978402853012,taal
39,0.5,0.8904862850904465,taal
40,0.51,0.8867938816547394,taal
41,0.52,0.8871512115001678,taal
42,0.53,0.8880997151136398,taal
43,0.54,0.8899267762899399,taal
44,0.55,0.8877032101154327,taal
45,0.56,0.8880905658006668,taal
46,0.57,0.8908899575471878,taal
47,0.58,0.8919996321201324,taal
48,0.59,0.8977988511323929,taal
49,0.6,0.891205295920372,taal
50,0.61,0.8911668807268143,taal
51,0.62,0.8971150815486908,taal
52,0.63,0.8902363628149033,taal
53,0.64,0.8967933356761932,taal
54,0.65,0.8931036442518234,taal
55,0.66,0.896944522857666,taal
56,0.67,0.8952351361513138,taal
57,0.68,0.8945132941007614,taal
58,0.69,0.8972077071666718,taal
59,0.7,0.8963942676782608,taal
60,0.71,0.8936235308647156,taal
61,0.72,0.8956497460603714,taal
62,0.73,0.8911262899637222,taal
63,0.74,0.8964087665081024,taal
64,0.75,0.8965247124433517,taal
65,0.76,0.8990860432386398,taal
66,0.77,0.8955074548721313,taal
67,0.78,0.8953954130411148,taal
68,0.79,0.8972519934177399,taal
69,0.8,0.8998957276344299,taal
70,0.81,0.8965141922235489,taal
71,0.82,0.8986538946628571,taal
72,0.83,0.8995566368103027,taal
73,0.84,0.8942948579788208,taal
74,0.85,0.8956960588693619,taal
75,0.86,0.9030734449625015,taal
76,0.87,0.8992461860179901,taal
77,0.88,0.8961396366357803,taal
78,0.89,0.8969898521900177,taal
79,0.9,0.9028759300708771,taal
80,0.91,0.900183230638504,taal
81,0.92,0.9008073657751083,taal
82,0.93,0.8958364427089691,taal
83,0.94,0.8965841084718704,taal
84,0.95,0.896486759185791,taal
85,0.96,0.89789679646492,taal
86,0.97,0.8978064209222794,taal
87,0.98,0.8974405229091644,taal
88,0.99,0.8961518555879593,taal
89,1.0,0.8932044357061386,taal
