round,fraction,dice_score,method
1,0.12,0.6,taal-unweighted
2,0.13,0.6424,taal-unweighted
3,0.14,0.6696,taal-unweighted
4,0.15,0.6791,taal-unweighted
5,0.16,0.7705,taal-unweighted
6,0.17,0.7769,taal-unweighted
7,0.18,0.8184,taal-unweighted
8,0.19,0.8151,taal-unweighted
9,0.2,0.818,taal-unweighted
10,0.21,0.82,taal-unweighted
11,0.22,0.8267,taal-unweighted
12,0.23,0.8343,taal-unweighted
13,0.24,0.8392,taal-unweighted
14,0.25,0.8409,taal-unweighted
15,0.26,0.8493,taal-unweighted
16,0.27,0.8379,taal-unweighted
17,0.28,0.851,taal-unweighted
18,0.29,0.8549,taal-unweighted
19,0.3,0.8568,taal-unweighted
20,0.31,0.8605,taal-unweighted
21,0.32,0.8543,taal-unweighted
22,0.33,0.8745,taal-unweighted
23,0.34,0.8708,taal-unweighted
24,0.35,0.8693,taal-unweighted
25,0.36,0.8719,taal-unweighted
26,0.37,0.8725,taal-unweighted
27,0.38,0.8686,taal-unweighted
28,0.39,0.8765,taal-unweighted
29,0.4,0.8748,taal-unweighted
30,0.41,0.8792,taal-unweighted
31,0.42,0.8752,taal-unweighted
32,0.43,0.8788,taal-unweighted
33,0.44,0.8823,taal-unweighted
34,0.45,0.8791,taal-unweighted
35,0.46,0.8853,taal-unweighted
36,0.47,0.8872,taal-unweighted
37,0.48,0.8813,taal-unweighted
38,0.49,0.8837,taal-unweighted
39,0.5,0.8826,taal-unweighted
40,0.51,0.8827,taal-unweighted
41,0.52,0.8875,taal-unweighted
42,0.53,0.8842,taal-unweighted
43,0.54,0.8858,taal-unweighted
44,0.55,0.8872,taal-unweighted
45,0.56,0.8885,taal-unweighted
46,0.57,0.8864,taal-unweighted
47,0.58,0.891,taal-unweighted
48,0.59,0.8905,taal-unweighted
49,0.6,0.8888,taal-unweighted
50,0.61,0.8934,taal-unweighted
51,0.62,0.8905,taal-unweighted
52,0.63,0.8933,taal-unweighted
53,0.64,0.8916,taal-unweighted
54,0.65,0.8953,taal-unweighted
55,0.66,0.8931,taal-unweighted
56,0.67,0.8941,taal-unweighted
57,0.68,0.8891,taal-unweighted
58,0.69,0.8972,taal-unweighted
59,0.7,0.8968,taal-unweighted
60,0.71,0.8965,taal-unweighted
61,0.72,0.8966,taal-unweighted
62,0.73,0.9053,taal-unweighted
63,0.74,0.8944,taal-unweighted
64,0.75,0.8985,taal-unweighted
65,0.76,0.8993,taal-unweighted
66,0.77,0.8967,taal-unweighted
67,0.78,0.8997,taal-unweighted
68,0.79,0.9009,taal-unweighted
69,0.8,0.8978,taal-unweighted
70,0.81,0.9002,taal-unweighted
71,0.82,0.8988,taal-unweighted
72,0.83,0.8967,taal-unweighted
73,0.84,0.9025,taal-unweighted
74,0.85,0.8995,taal-unweighted
75,0.86,0.9009,taal-unweighted
76,0.87,0.9027,taal-unweighted
77,0.88,0.9036,taal-unweighted
78,0.89,0.9006,taal-unweighted
79,0.9,0.9009,taal-unweighted
80,0.91,0.8994,taal-unweighted
81,0.92,0.9006,taal-unweighted
82,0.93,0.9013,taal-unweighted
83,0.94,0.9043,taal-unweighted
84,0.95,0.9052,taal-unweighted
85,0.96,0.9011,taal-unweighted
86,0.97,0.9012,taal-unweighted
87,0.98,0.9012,taal-unweighted
88,0.99,0.8994,taal-unweighted
89,1,0.9012,taal-unweighted
